,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
129,Mehamn,85,NO,1561675500,86,71.03,27.85,39.94,23.31
130,San Rafael,0,AR,1561675502,43,-34.61,-68.33,49.18,2.26
131,Lamar,1,US,1561675503,19,38.09,-102.62,90.0,24.16
132,Dongying,90,CN,1561675504,52,37.43,118.67,83.63,13.62
133,Hithadhoo,100,MV,1561675505,69,-0.6,73.08,83.77,5.28
134,Lagoa,0,PT,1561675260,60,37.14,-8.45,69.8,10.29
135,San Patricio,32,PY,1561675260,88,-26.98,-56.83,65.3,9.1
136,Joao Pinheiro,43,BR,1561675508,63,-17.74,-46.17,68.45,4.07
137,Fukue,75,JP,1561675510,94,35.03,136.69,79.0,9.17
138,Cap Malheureux,20,MU,1561675511,78,-19.98,57.61,73.4,11.41
139,Bredasdorp,45,ZA,1561675512,54,-34.53,20.04,55.99,4.7
140,Qasigiannguit,75,GL,1561675513,69,68.82,-51.19,39.2,13.87
141,Kautokeino,98,NO,1561675514,66,69.01,23.04,38.63,11.77
142,Yuzhou,90,CN,1561675515,88,34.16,113.47,71.6,6.71
143,Wanning,0,AT,1561675274,35,48.64,13.53,71.6,5.82
144,Grand Bend,1,CA,1561675518,42,43.31,-81.76,84.2,9.17
145,Port Elizabeth,1,US,1561675237,36,39.31,-74.98,91.4,5.82
146,Mjolby,0,SE,1561675520,76,58.33,15.12,60.8,5.82
147,Lao Cai,98,VN,1561675387,95,22.48,103.95,68.67,3.51
148,Breytovo,100,RU,1561675522,95,58.3,37.86,51.17,9.24
149,Yichun,100,CN,1561675523,96,47.72,128.88,50.67,8.79
150,Portobelo,40,PA,1561675525,88,9.55,-79.65,82.0,10.29
151,Namatanai,63,PG,1561675526,75,-3.66,152.44,81.88,9.35
152,Yellowknife,40,CA,1561675527,24,62.45,-114.38,62.6,10.29
153,Bathsheba,40,BB,1561675528,74,13.22,-59.52,82.4,19.46
154,Esperance,37,AU,1561675529,87,-33.86,121.89,42.8,17.22
155,Srednekolymsk,100,RU,1561675530,40,67.46,153.71,59.11,15.03
156,Lubliniec,0,PL,1561675532,72,50.67,18.68,64.0,3.36
157,Guerrero Negro,0,MX,1561675533,84,27.97,-114.04,64.62,17.31
158,Kailua,75,US,1561675390,78,21.39,-157.74,82.99,14.99
159,Gazojak,100,TM,1561675535,37,41.19,61.4,75.38,7.99
160,Coralici,98,BA,1561675536,99,45.01,15.87,62.82,1.77
161,Watsa,31,CD,1561675537,98,3.04,29.53,63.83,2.28
162,Leh,76,IN,1561675539,59,34.16,77.58,28.01,3.98
163,Rocha,45,UY,1561675540,84,-34.48,-54.34,43.29,8.23
164,Margate,75,AU,1561675541,66,-43.03,147.26,57.0,10.29
165,Itupiranga,0,BR,1561675542,65,-5.13,-49.33,80.6,2.24
166,Vao,35,EE,1561675543,59,59.1,26.19,58.27,15.5
167,Cherskiy,100,RU,1561675544,79,68.75,161.3,49.72,11.7
168,Pochutla,40,MX,1561675546,66,15.74,-96.47,91.0,13.87
169,Aketi,100,CD,1561675547,99,2.74,23.78,67.18,2.01
170,Ossora,100,RU,1561675548,91,59.24,163.07,43.99,3.74
171,Wegrow,0,PL,1561675549,78,52.4,22.02,63.0,1.99
172,Udachnyy,75,RU,1561675550,77,66.42,112.4,60.8,6.71
173,Victoria,90,BN,1561675551,83,5.28,115.24,80.6,13.11
174,Cabedelo,75,BR,1561675553,78,-6.97,-34.84,77.0,9.17
175,Katsuura,75,JP,1561675287,100,33.93,134.5,77.0,2.24
176,Shieli,67,KZ,1561675555,32,44.18,66.74,80.82,7.76
177,Pundaguitan,97,PH,1561675556,77,6.37,126.17,82.24,4.54
178,Ipubi,17,BR,1561675557,85,-7.65,-40.15,68.04,8.34
179,Tiksi,94,RU,1561675558,73,71.64,128.87,45.38,11.21
180,Champerico,75,MX,1561675560,58,16.38,-93.6,86.0,14.99
181,Sisimiut,91,GL,1561675561,85,66.94,-53.67,36.05,25.14
182,Chokurdakh,0,RU,1561675562,38,70.62,147.9,60.5,11.34
183,Kiruna,100,SE,1561675563,70,67.86,20.23,42.8,4.5
184,Mount Gambier,40,AU,1561675564,62,-37.83,140.78,57.2,17.22
185,Emerald,41,AU,1561675566,87,-23.53,148.16,61.0,13.87
186,Dingle,93,PH,1561675567,86,11.0,122.67,77.65,8.14
187,Waterlooville,0,GB,1561675568,82,50.88,-1.03,62.01,8.05
188,Hovd,75,NO,1561675569,87,63.83,10.7,51.01,14.99
189,La Rioja,0,AR,1561675570,44,-29.41,-66.86,46.22,2.21
190,Beloha,3,MG,1561675571,89,-25.17,45.06,66.06,9.4
191,Lokosovo,100,RU,1561675573,90,61.13,74.84,46.55,13.49
192,Karlskoga,4,SE,1561675574,62,59.33,14.52,55.4,3.36
193,Sept-Iles,90,CA,1561675486,87,50.2,-66.38,57.0,9.17
194,Ilulissat,75,GL,1561675576,69,69.22,-51.1,39.2,13.87
195,Lompoc,1,US,1561675577,60,34.64,-120.46,77.0,16.11
196,General Roca,0,AR,1561675384,54,-39.03,-67.58,55.4,6.93
197,Port Augusta,0,AU,1561675580,67,-32.49,137.76,61.0,11.41
198,Cayenne,0,GF,1561675581,83,4.94,-52.33,80.6,4.7
199,Carndonagh,14,IE,1561675582,81,55.25,-7.27,59.27,15.66
200,Georgetown,75,GY,1561675374,88,6.8,-58.16,78.8,6.93
201,Oranjemund,19,ZA,1561675306,86,-28.55,16.43,54.68,12.95
202,Lubango,0,AO,1561675585,94,-14.92,13.49,50.74,1.01
203,Lebedinyy,34,RU,1561675587,44,58.52,125.52,65.12,10.58
204,Los Llanos de Aridane,20,ES,1561675588,68,28.66,-17.92,71.6,11.41
205,Crotone,0,IT,1561675589,56,39.09,17.12,74.32,3.51
206,Huron,40,US,1561675590,58,44.36,-98.21,89.6,6.93
207,Harrisburg,1,US,1561675591,29,40.27,-76.89,91.4,5.82
208,Calvinia,13,ZA,1561675592,95,-31.47,19.78,40.28,5.53
209,Saint-Philippe,75,CA,1561675594,42,45.36,-73.48,84.0,14.99
210,Saint George,0,GR,1561675595,53,39.45,22.34,78.01,3.13
211,Pokhara,29,NP,1561675596,83,28.21,83.99,54.49,2.35
212,Ambovombe,20,MG,1561675597,81,-25.18,46.09,73.06,32.14
213,Zadar,0,HR,1561675598,88,44.12,15.24,79.0,1.12
214,Padilla,20,CO,1561675599,55,3.23,-76.31,86.0,10.29
215,Aden,64,YE,1561675601,49,12.79,45.03,89.48,11.77
216,Codrington,90,AU,1561675602,93,-28.95,153.24,59.0,7.72
217,Vardo,75,US,1561675603,83,39.62,-77.74,88.0,4.14
218,Paulo Ramos,77,BR,1561675604,82,-4.45,-45.24,72.04,0.76
219,Oum Hadjer,97,TD,1561675605,48,13.3,19.7,85.54,13.67
220,Karaton,20,ID,1561675607,78,-6.34,106.1,78.01,3.36
221,Kapuskasing,75,CA,1561675327,44,49.42,-82.43,78.8,11.41
222,Pamanukan,1,ID,1561675609,74,-6.28,107.82,75.6,1.34
223,Votkinsk,22,RU,1561675610,95,57.05,53.99,50.0,1.01
224,Grindavik,90,IS,1561675611,100,63.84,-22.43,53.6,17.22
225,Beringovskiy,85,RU,1561675612,64,63.05,179.32,51.39,8.14
226,Brae,100,GB,1561675613,93,60.4,-1.35,51.8,11.41
227,Atasu,100,KZ,1561675615,86,48.68,71.64,56.66,13.38
228,Saldanha,0,PT,1561675336,77,41.42,-6.55,63.99,2.75
229,Haftoni,92,AZ,1561675617,82,38.76,48.76,68.0,2.55
230,Arraial do Cabo,32,BR,1561675618,90,-22.97,-42.02,72.94,5.86
231,Visby,2,SE,1561675619,77,57.64,18.3,62.6,8.05
232,Amazar,21,RU,1561675620,42,53.86,120.88,68.94,1.28
233,Tibiri,0,NE,1561675622,40,13.57,7.05,90.34,8.84
234,Pinyug,13,RU,1561675623,93,60.25,47.79,46.19,5.55
235,Waipawa,0,NZ,1561675624,95,-39.94,176.59,34.0,1.39
236,Miandrivazo,54,MG,1561675625,76,-19.53,45.46,68.99,2.15
237,Clarksburg,40,US,1561675570,48,39.24,-77.28,89.01,5.82
238,Singaraja,0,ID,1561675627,68,-8.11,115.08,77.22,7.58
239,Greytown,0,ZA,1561675629,60,-29.06,30.59,46.89,2.04
240,North Bend,20,US,1561675630,77,43.41,-124.22,66.99,16.11
241,Hamilton,40,CA,1561675631,35,43.26,-79.87,84.99,3.36
242,Kaitangata,42,NZ,1561675632,62,-46.28,169.85,46.0,11.01
243,Prince Albert,75,CA,1561675633,50,53.2,-105.75,75.2,4.7
244,Verkhoyansk,57,RU,1561675634,26,67.55,133.39,79.31,13.11
245,Kamenka,55,MD,1561675636,75,48.03,28.7,64.0,9.89
246,Almaty,40,KZ,1561675637,55,43.24,76.95,64.4,8.95
247,Sao Joao da Barra,0,BR,1561675638,83,-21.64,-41.05,75.2,4.7
248,Vagur,100,FO,1561675639,96,61.47,-6.81,50.58,14.36
249,Kikuyu,75,KE,1561675640,82,-1.25,36.66,62.6,6.93
250,Laguna,40,BZ,1561675642,66,16.17,-88.94,89.6,9.17
251,Lata,41,IN,1561675643,74,30.78,78.62,35.62,3.11
252,Galesong,0,ID,1561675644,100,-5.32,119.37,69.8,2.24
253,Mandan,1,US,1561675649,61,46.83,-100.89,82.99,9.17
254,Nelson Bay,20,AU,1561675650,100,-32.72,152.14,59.0,7.47
255,Beyneu,2,KZ,1561675651,30,45.32,55.19,72.02,4.07
256,Cockburn Town,79,TC,1561675652,80,21.46,-71.14,82.4,21.85
257,Sao Felix do Xingu,0,BR,1561675653,69,-6.64,-51.99,74.3,4.25
258,Sampit,43,ID,1561675654,98,-2.54,112.95,75.17,1.41
259,Jamestown,0,AU,1561675656,61,-33.21,138.6,61.61,16.71
260,Manokwari,98,ID,1561675657,72,-0.87,134.08,78.48,3.62
261,Montepuez,74,MZ,1561675658,77,-13.13,39.0,63.56,5.77
262,San Joaquin,100,PH,1561675659,90,10.59,122.14,78.82,8.5
263,Katima Mulilo,0,NA,1561675660,55,-17.5,24.28,60.8,4.7
264,Upernavik,54,GL,1561675661,83,72.79,-56.15,33.21,6.51
265,Alofi,75,NU,1561675663,69,-19.06,-169.92,78.8,18.34
266,Nova Olimpia,1,BR,1561675664,52,-14.8,-57.29,76.45,3.58
267,Rock Sound,91,BS,1561675481,73,24.9,-76.2,83.34,12.68
268,Puerto Escondido,40,MX,1561675666,66,15.86,-97.07,87.8,11.41
269,Charters Towers,100,AU,1561675667,81,-20.07,146.27,65.23,16.31
270,Port-Cartier,90,CA,1561675668,87,50.03,-66.88,57.0,9.17
271,Madang,100,CN,1561675670,88,35.32,102.79,40.82,3.42
272,Dunmore Town,68,BS,1561675671,72,25.5,-76.65,83.09,11.16
273,Vila Velha,0,BR,1561675672,78,-3.71,-38.6,80.6,11.41
274,Camacha,20,PT,1561675673,68,33.08,-16.33,68.0,10.29
275,Pangnirtung,75,CA,1561675674,52,66.15,-65.72,46.4,20.8
276,Pimentel,100,BR,1561675675,91,-3.7,-45.5,74.2,1.41
277,Ardrishaig,18,GB,1561675677,82,56.02,-5.45,61.0,4.7
278,Vestmannaeyjar,100,IS,1561675678,97,63.44,-20.27,52.78,18.48
279,Tilichiki,98,RU,1561675679,73,60.47,166.1,48.91,7.99
280,Souillac,0,FR,1561675680,62,45.6,-0.6,84.2,5.82
281,Port Macquarie,16,AU,1561675681,100,-31.43,152.91,60.01,4.7
282,Sladkovo,47,RU,1561675682,89,55.53,70.34,47.61,4.03
283,Goderich,0,CA,1561675684,72,43.74,-81.71,73.0,3.0
284,Ulaangom,100,MN,1561675685,35,49.98,92.07,67.99,2.3
285,Bambous Virieux,20,MU,1561675686,78,-20.34,57.76,73.4,11.41
286,Sinnamary,99,GF,1561675687,81,5.38,-52.96,81.13,16.28
287,Flin Flon,75,CA,1561675688,40,54.77,-101.88,71.6,10.29
288,Hanzhong,100,CN,1561675689,90,33.08,107.03,65.32,2.08
289,Pa Sang,20,TH,1561675691,83,18.53,98.94,79.0,4.7
290,Bela Vista,53,BR,1561675692,66,-22.11,-56.53,73.33,11.01
291,Nome,40,US,1561675693,65,30.04,-94.42,87.01,8.05
292,Adrar,0,DZ,1561675694,7,27.87,-0.29,98.6,10.29
293,Canakkale,0,TR,1561675695,56,40.15,26.41,73.4,3.36
294,Yamada,75,JP,1561675696,94,36.58,137.08,77.0,2.24
295,Flinders,20,AU,1561675698,100,-34.58,150.85,59.0,10.29
296,Tadine,100,NC,1561675699,86,-21.55,167.88,71.24,14.54
297,Kirksville,1,US,1561675592,59,40.19,-92.58,89.6,14.99
298,Katakwi,6,UG,1561675701,95,1.91,33.96,64.24,4.25
299,Gibara,75,CU,1561675702,78,21.11,-76.13,82.4,12.75
300,Pevek,100,RU,1561675703,95,69.7,170.27,34.63,11.72
301,Mantua,0,IT,1561675705,74,45.16,10.79,87.8,1.12
302,Auki,17,NG,1561675706,75,12.18,6.51,77.33,11.12
303,Lasa,40,CY,1561675707,88,34.92,32.53,77.0,5.82
304,Muisne,75,EC,1561675708,83,0.61,-80.02,80.6,5.82
305,Mayor Pablo Lagerenza,94,PY,1561675709,59,-19.93,-60.77,78.53,9.95
306,Clyde River,20,CA,1561675711,49,70.47,-68.59,48.2,19.46
307,Conceicao do Araguaia,14,BR,1561675712,61,-8.26,-49.26,74.39,0.92
308,Chepareria,79,KE,1561675713,74,1.32,35.2,66.8,7.09
309,Eureka,20,US,1561675469,87,40.8,-124.16,63.0,8.05
310,Belyy Yar,76,RU,1561675715,93,53.6,91.39,57.2,3.49
311,Kudahuvadhoo,17,MV,1561675716,70,2.67,72.89,83.47,7.02
312,Padang,64,ID,1561675718,73,-0.92,100.36,82.21,4.47
313,Sabang,97,PH,1561675719,85,13.8,121.11,79.52,4.68
314,Erenhot,0,CN,1561675720,32,43.65,111.97,67.73,19.55
315,Saint Albans,1,US,1561675721,44,44.81,-73.08,86.0,8.05
316,Murray Bridge,4,AU,1561675722,61,-35.12,139.28,63.0,7.0
317,Lobito,34,AO,1561675723,89,-12.35,13.55,62.05,2.48
318,Lewistown,1,US,1561675725,62,40.39,-90.15,90.0,5.82
319,Bashtanka,93,UA,1561675726,83,47.4,32.45,66.4,12.53
320,Sakaraha,0,MG,1561675727,79,-22.91,44.53,64.19,2.93
321,Dondaicha,100,IN,1561675728,73,21.33,74.56,82.6,11.9
322,Butaritari,1,KI,1561675729,70,3.07,172.79,84.06,11.03
323,Soledad,1,US,1561675608,47,36.43,-121.33,79.0,14.99
324,Vanavara,13,RU,1561675732,49,60.35,102.28,71.03,3.96
325,Fortuna,20,US,1561675733,72,40.6,-124.16,62.6,11.41
326,Sarab,0,IR,1561675734,82,38.61,44.99,53.78,3.04
327,Lichinga,0,MZ,1561675735,73,-13.3,35.25,56.79,3.89
328,Laukaa,0,FI,1561675736,70,62.42,25.95,50.0,9.17
329,Owando,83,CG,1561675737,73,-0.49,15.91,74.3,1.21
330,Elizabeth City,40,US,1561675445,52,36.3,-76.22,91.4,8.05
331,Harlingen,90,NL,1561675740,76,53.18,5.41,60.01,8.05
332,Kristinehamn,20,SE,1561675741,76,59.31,14.11,55.0,4.7
333,San Cristobal,21,HN,1561675742,59,14.68,-86.92,75.04,6.96
334,Ust-Ilimsk,0,RU,1561675743,48,57.96,102.73,71.15,4.27
335,Douglas,20,US,1561675469,30,58.28,-134.39,80.6,18.34
336,Libreville,40,GA,1561675746,83,0.39,9.45,78.8,8.05
337,Lugovskoy,0,RU,1561675747,93,56.96,64.53,52.0,1.36
338,Erzin,75,TR,1561675748,83,36.95,36.2,81.0,3.36
339,Talaban,75,IQ,1561675749,94,35.38,44.92,75.2,4.7
340,Tigil,41,RU,1561675750,48,57.8,158.67,61.88,7.25
341,Berlevag,74,NO,1561675751,83,70.86,29.09,41.8,22.84
342,Tura,78,RU,1561675739,51,64.27,100.22,75.11,5.79
343,Rawson,98,AR,1561675754,68,-43.3,-65.11,36.76,20.0
344,Mitsamiouli,11,KM,1561675755,80,-11.38,43.28,77.54,19.82
345,Salinopolis,3,BR,1561675756,78,-0.61,-47.36,82.93,19.6
346,Mirnyy,100,RU,1561675757,99,56.57,36.46,56.38,0.56
347,Bambanglipuro,90,ID,1561675759,75,-7.95,110.28,77.0,13.49
348,Iqaluit,40,CA,1561675760,62,63.75,-68.52,51.8,8.05
349,Pachino,1,IT,1561675761,78,36.72,15.09,73.4,3.36
350,Kavaratti,44,IN,1561675762,75,10.57,72.64,83.2,16.35
351,Banjar,96,ID,1561675763,90,-7.37,108.54,70.67,0.89
352,Szczytno,0,PL,1561675764,83,53.57,20.99,51.89,6.26
353,Ukiah,1,US,1561675766,33,39.15,-123.21,75.0,11.41
354,Aranos,0,NA,1561675767,29,-24.14,19.11,55.17,8.77
355,Grootfontein,0,NA,1561675768,60,-19.56,18.1,47.9,4.07
356,Jalu,0,LY,1561675769,44,29.03,21.55,82.31,10.25
357,Sur,0,OM,1561675770,63,22.57,59.53,84.85,14.67
358,Faanui,67,PF,1561675772,81,-16.48,-151.75,79.06,13.73
359,Rupert,1,US,1561675773,22,42.62,-113.68,78.8,11.41
360,Havre-Saint-Pierre,90,CA,1561675774,93,50.23,-63.6,53.6,10.29
361,Puri,0,ID,1561675775,78,-7.54,112.45,72.32,14.63
362,Buala,100,SB,1561675776,75,-8.15,159.59,83.03,9.08
363,Venado,0,MX,1561675777,42,22.93,-101.09,71.32,19.22
364,Barcelos,17,BR,1561675779,95,-0.97,-62.93,75.19,2.55
365,Barentu,18,ER,1561675780,68,15.11,37.59,71.57,5.86
366,Constanza,75,DO,1561675781,100,18.91,-70.74,75.2,9.17
367,Puerto del Rosario,20,ES,1561675782,68,28.5,-13.86,71.6,14.99
368,Armacao de Pera,0,PT,1561675490,60,37.1,-8.36,69.8,10.29
369,Palora,75,EC,1561675784,69,-1.7,-77.97,78.8,6.93
370,Lakselv,100,NO,1561675785,70,70.05,24.96,42.8,27.51
371,Melita,48,CA,1561675657,47,49.27,-100.98,82.99,5.01
372,Ishikawa,75,JP,1561675788,100,37.14,140.45,80.01,2.24
373,Pitimbu,75,BR,1561675789,78,-7.47,-34.81,77.0,9.17
374,Zrece,88,SI,1561675790,88,46.38,15.38,73.4,3.36
